source,source_layer,target,target_layer
UNCLOS,Global,Helsinki Convention,Regional (Baltic Sea)
UNCLOS,Global,EU MSFD,Regional (Baltic Sea)
CBD,Global,HELCOM BSAP,Regional (Baltic Sea)
UNFCCC,Global,EU,Regional (Baltic Sea)
UN,Global,EU,Regional (Baltic Sea)
UNEP,Global,UNEP Regional Seas Programme,Regional (Baltic Sea)
Helsinki Convention,Regional (Baltic Sea),Miljöskyddslagen,National (Finland)
HELCOM BSAP,Regional (Baltic Sea),Lag om vattenvårds- och havsvårdsförvaltningen,National (Finland)
HELCOM Recommendations,Regional (Baltic Sea),Havsvårdsförordningen,National (Finland)
EU MSFD,Regional (Baltic Sea),Lag om vattenvårds- och havsvårdsförvaltningen,National (Finland)
EU WFD,Regional (Baltic Sea),Vattenlag (Water Act),National (Finland)
EU MSPD,Regional (Baltic Sea),Markanvändnings/bygglag (Land Use and Building Act),National (Finland)
EU Biodiversity strategy for 2030,Regional (Baltic Sea),Naturvårdslag (Nature Conservation Act),National (Finland)
EU,Regional (Baltic Sea),Ministry of the Environment,National (Finland)
HELCOM,Regional (Baltic Sea),Finnish Environment Institute (SYKE),National (Finland)
UN,Global,UNCLOS,Global
UN,Global,CBD,Global
ICES,Global,IMO,Global
HELCOM,Regional (Baltic Sea),HELCOM BSAP,Regional (Baltic Sea)
HELCOM,Regional (Baltic Sea),HELCOM Recommendations,Regional (Baltic Sea)
EU,Regional (Baltic Sea),EU MSFD,Regional (Baltic Sea)
EU,Regional (Baltic Sea),EU WFD,Regional (Baltic Sea)
EU,Regional (Baltic Sea),EU MSPD,Regional (Baltic Sea)
Ministry of the Environment,National (Finland),Finnish Environment Institute (SYKE),National (Finland)
Ministry of Agriculture and Forestry of Finland,National (Finland),Metsähallitus,National (Finland)
CITES,Global,,  
MARPOL,Global,,  
London Convention,Global,,  
BBNJ,Global,,  
Bernkonventionen,Regional (Baltic Sea),,  
Baltic Sea Foundation,Regional (Baltic Sea),,  
Nordiska rådet,Regional (Baltic Sea),,  
Bernkonventionen,Regional (Baltic Sea),,  
VASAB,Regional (Baltic Sea),,  
Baltic Sea Advisory Council (BSAC),Regional (Baltic Sea),,  
Nordiska rådet,Regional (Baltic Sea),,  
Regional State Administrative Agency,Regional (Baltic Sea),,  
"Centre for Economic Development, Transport and the Environment",National (Finland),,
